Timestamp,Score,height_willis_tower,distance_to_uiuc_miles,coffee_consume_cups,height_armory_meter,hours_spend_rso
2/26/2025 15:51:28,,1500,450,2,45,12
2/26/2025 15:51:49,,900,150,1,30,5
2/26/2025 15:51:54,,1000,6624,1,100,9
2/26/2025 15:51:54,,910,3.5,0,12,0
2/26/2025 15:52:16,,200,30000,2,15,3
2/26/2025 15:52:27,,1400,700,0,50,2
2/26/2025 15:52:29,,10000,3000,0,50,5
2/26/2025 15:52:40,,100,10000,3,30,10
2/26/2025 15:52:48,,10000,160,0,25,0
2/26/2025 15:53:00,,1700,130,0,30,2
2/26/2025 15:53:18,,1100,123,3,40,4
2/26/2025 15:53:23,,500,6000,0,100,2
2/26/2025 15:53:23,,1500,2100,0,250,2
2/26/2025 15:53:48,,1000,7900,4,10,0
2/26/2025 15:53:48,,100,7000,2,800,10
2/26/2025 15:54:12,,200,6620,1,12,7
2/26/2025 15:54:14,,20,0,1,5,3
2/26/2025 15:54:21,,7,7,5,10,0
2/26/2025 15:54:55,,400,8000,1,10,6
2/26/2025 15:55:11,,442,"6,310",0,10,6